nohup: ignoring input
======================================================
  Experimentos MPI — Multiplicación de Matrices
  Fecha: Fri May 15 22:50:27 UTC 2026
======================================================
[INFO] Compilando...
[INFO] Compilación completada

version,N,P,rep,tiempo_ms,gflops
row,2000,2,1,4632.31,3.454
block,2000,2,1,4602.16,3.47663
row,2000,2,2,4661.37,3.43246
block,2000,2,2,4603.98,3.47525
row,2000,2,3,4643.04,3.44602
block,2000,2,3,4604.76,3.47466
row,2000,2,4,4619.24,3.46377
block,2000,2,4,4659.89,3.43356
row,2000,2,5,4677.13,3.4209
block,2000,2,5,4578.34,3.49472
row,2000,3,1,4772.83,3.35231
block,2000,3,1,4837.02,3.30782
row,2000,3,2,4806.55,3.32879
block,2000,3,2,4868.18,3.28665
row,2000,3,3,5040.92,3.17402
block,2000,3,3,4803.42,3.33096
row,2000,3,4,4772.02,3.35287
block,2000,3,4,4785.77,3.34325
row,2000,3,5,5052.12,3.16699
block,2000,3,5,4811.01,3.3257
row,2000,4,1,3665.48,4.36504
block,2000,4,1,3644.12,4.39064
row,2000,4,2,3641.23,4.39412
block,2000,4,2,3673.04,4.35606
row,2000,4,3,3682.7,4.34464
block,2000,4,3,3869.57,4.13483
row,2000,4,4,3654.4,4.37829
block,2000,4,4,3639.93,4.39569
row,2000,4,5,3665.11,4.36549
block,2000,4,5,3660.04,4.37154
row,2000,6,1,2698.87,5.92841
block,2000,6,1,2455.69,6.51548
row,2000,6,2,2449.24,6.53263
block,2000,6,2,2473.15,6.46947
row,2000,6,3,2433.1,6.57597
block,2000,6,3,2447.92,6.53617
row,2000,6,4,2424.04,6.60054
block,2000,6,4,2449.72,6.53137
row,2000,6,5,2447.71,6.53672
block,2000,6,5,2453.95,6.52011
row,2000,8,1,1974.6,8.10289
block,2000,8,1,1867.49,8.56764
row,2000,8,2,1857.5,8.61374
block,2000,8,2,2138.15,7.4831
row,2000,8,3,1893.53,8.44981
block,2000,8,3,1905.12,8.39843
row,2000,8,4,1907.48,8.38802
block,2000,8,4,2036.8,7.85547
row,2000,8,5,1838.99,8.70044
block,2000,8,5,1847.47,8.66051
row,2000,12,1,1237.4,12.9303
block,2000,12,1,1369.37,11.6842
row,2000,12,2,1387.71,11.5298
block,2000,12,2,1263.46,12.6637
row,2000,12,3,1289.68,12.4062
block,2000,12,3,1373.1,11.6525
row,2000,12,4,1300.62,12.3018
block,2000,12,4,1246.11,12.84
row,2000,12,5,1254.67,12.7524
block,2000,12,5,1444.55,11.0761
row,3000,1,1,31113.1,1.7356
block,3000,1,1,31233.1,1.72894
row,3000,1,2,31119.1,1.73527
block,3000,1,2,31321.1,1.72408
row,3000,1,3,32047,1.68503
block,3000,1,3,30760.6,1.75549
row,3000,1,4,31302.8,1.72509
block,3000,1,4,31174.1,1.7322
row,3000,1,5,31331,1.72353
block,3000,1,5,31495.3,1.71454
row,3000,2,1,15623.1,3.45643
block,3000,2,1,15743.9,3.4299
row,3000,2,2,15567.8,3.4687
block,3000,2,2,15809.8,3.4156
row,3000,2,3,15717.3,3.43571
block,3000,2,3,15912,3.39367
row,3000,2,4,15817.7,3.41389
block,3000,2,4,15651.5,3.45014
row,3000,2,5,15814.6,3.41457
block,3000,2,5,15612.7,3.45873
row,3000,3,1,16318.2,3.30919
block,3000,3,1,15256.8,3.53941
row,3000,3,2,15941.9,3.3873
block,3000,3,2,16044,3.36574
row,3000,3,3,16068.8,3.36056
block,3000,3,3,16419.1,3.28885
row,3000,3,4,16012,3.37248
block,3000,3,4,15180.9,3.55711
row,3000,3,5,15993.9,3.37629
block,3000,3,5,15943.4,3.38698
row,3000,4,1,12586.2,4.29042
block,3000,4,1,12266.9,4.40209
row,3000,4,2,12208.7,4.42308
block,3000,4,2,12523.3,4.31196
row,3000,4,3,12425.5,4.34589
block,3000,4,3,12799.5,4.21893
row,3000,4,4,13779.6,3.91884
block,3000,4,4,12601.8,4.28509
row,3000,4,5,12337.5,4.3769
block,3000,4,5,12257.8,4.40537
row,3000,6,1,8071.86,6.68991
block,3000,6,1,8160.94,6.61689
row,3000,6,2,8452.58,6.38858
block,3000,6,2,8160.45,6.61728
row,3000,6,3,8399.02,6.42932
block,3000,6,3,8198.58,6.5865
row,3000,6,4,8156.51,6.62048
